,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
16198,,"21,00","70,56","Iguaçu Velho / Adrianópolis (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,650","0,644","0,759","0,561","9,36","439,77"
16199,,"23,60","69,13","Imperador / E.M.Capstrano de Abreu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16200,,"12,90","75,86","Imperial / Jardim São João / Pedreiva de Nova Iguaçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,761","0,733","0,848","0,708","10,38","766,99"
16201,,"10,90","77,48","Jacutinga / Escola Municipal Professora Lucia Viana Capela (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,797","0,767","0,875","0,753","10,31","945,09"
16202,,"22,00","69,97","Jardim Bandeirantes (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16203,,"16,50","73,32","Jardim Belo Horizonte / Comunidade Inferninho (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,710","0,678","0,805","0,657","9,61","543,59"
16204,,"16,60","73,22","Jardim Boa Esperança / Vila São Teodoro (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,709","0,674","0,804","0,658","9,24","530,22"
16205,,"13,90","75,11","Jardim Cachoeira / Nova Brasília (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,743","0,709","0,835","0,693","10,30","660,32"
16206,,"21,00","70,56","Jardim Canaã (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,650","0,644","0,759","0,561","9,36","439,77"
16207,,"20,50","70,82","Jardim da Posse (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,680","0,648","0,764","0,636","9,90","450,46"
16208,,"20,90","70,62","Jardim da Viga (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,666","0,646","0,760","0,602","9,01","446,24"
16209,,"12,90","75,86","Jardim Ideal (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,761","0,733","0,848","0,708","10,38","766,99"
16210,,"19,90","71,20","Jardim Iguaçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,678","0,651","0,770","0,623","9,14","460,36"
16211,,"13,20","75,66","Jardim Jasmim / Jardim Pitoresco / Vila Angela (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,755","0,717","0,844","0,711","10,27","691,00"
16212,,"19,90","71,20","Jardim Metrópole (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,678","0,651","0,770","0,623","9,14","460,36"
