,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
143,,53.88,62.31,Coari (AM),,1991,0.248,0.492,0.622,0.050,4.74,170.78
144,,53.88,62.31,Codajás (AM),,1991,0.312,0.467,0.622,0.105,5.18,146.23
145,,68.95,58.79,Eirunepé (AM),,1991,0.355,0.539,0.563,0.147,6.10,229.61
146,,59.59,60.91,Envira (AM),,1991,0.295,0.413,0.599,0.104,6.94,104.70
147,,59.44,60.95,Fonte Boa (AM),,1991,0.263,0.416,0.599,0.073,1.64,106.65
148,,65.43,59.56,Guajará (AM),,1991,0.243,0.453,0.576,0.055,4.11,133.72
149,,65.43,59.56,Humaitá (AM),,1991,0.266,0.420,0.576,0.078,5.24,109.08
150,,43.21,65.15,Ipixuna (AM),,1991,0.296,0.485,0.669,0.080,4.57,163.40
151,,75.82,57.34,Iranduba (AM),,1991,0.257,0.371,0.539,0.085,6.46,80.34
152,,49.58,63.41,Itacoatiara (AM),,1991,0.323,0.521,0.640,0.101,4.89,204.44
153,,43.60,65.04,Itamarati (AM),,1991,0.408,0.532,0.667,0.192,6.40,218.63
154,,56.58,61.64,Itapiranga (AM),,1991,0.210,0.487,0.611,0.031,3.34,165.89
155,,48.40,63.73,Japurá (AM),,1991,0.409,0.495,0.646,0.214,7.97,174.46
156,,49.58,63.41,Juruá (AM),,1991,0.208,0.482,0.640,0.029,4.94,160.66
157,,75.82,57.34,Jutaí (AM),,1991,0.291,0.422,0.539,0.108,2.57,110.28
158,,65.43,59.56,Lábrea (AM),,1991,0.187,0.438,0.576,0.026,2.62,122.27
159,,59.59,60.91,Manacapuru (AM),,1991,0.254,0.473,0.599,0.058,5.19,151.90
160,,56.25,61.72,Manaquiri (AM),,1991,0.339,0.507,0.612,0.126,6.36,187.64
161,,54.43,62.17,Manaus (AM),,1991,0.244,0.510,0.620,0.046,3.84,191.32
162,,43.21,65.87,Manicoré (AM),,1991,0.521,0.676,0.681,0.307,7.64,537.29
163,,53.94,62.29,Maraã (AM),,1991,0.287,0.489,0.622,0.078,5.65,167.99
164,,59.44,60.95,Maués (AM),,1991,0.265,0.444,0.599,0.070,4.04,127.09
165,,45.27,64.58,Nhamundá (AM),,1991,0.333,0.475,0.660,0.118,7.05,153.52
166,,59.44,60.95,Nova Olinda do Norte (AM),,1991,0.356,0.456,0.599,0.165,6.41,136.69
167,,59.59,60.91,Novo Airão (AM),,1991,0.321,0.501,0.599,0.110,5.88,181.11
168,,55.64,61.87,Novo Aripuanã (AM),,1991,0.264,0.467,0.615,0.064,6.07,146.24
169,,53.94,62.29,Parintins (AM),,1991,0.293,0.513,0.622,0.079,2.79,194.68
170,,50.43,63.19,Pauini (AM),,1991,0.414,0.520,0.637,0.214,7.69,203.36
171,,65.43,59.56,Presidente Figueiredo (AM),,1991,0.177,0.503,0.576,0.019,1.98,182.72
172,,48.39,63.73,Rio Preto da Eva (AM),,1991,0.461,0.620,0.646,0.245,6.46,379.79
173,,48.39,63.73,Santa Isabel do Rio Negro (AM),,1991,0.353,0.536,0.646,0.127,4.99,225.09
174,,75.82,57.34,Santo Antônio do Içá (AM),,1991,0.236,0.404,0.539,0.060,6.93,98.89
175,,65.43,59.56,São Gabriel da Cachoeira (AM),,1991,0.206,0.346,0.576,0.044,4.75,68.96
176,,50.90,63.07,São Paulo de Olivença (AM),,1991,0.388,0.545,0.635,0.169,7.04,237.56
177,,65.43,59.56,São Sebastião do Uatumã (AM),,1991,0.269,0.357,0.576,0.095,6,73.64
178,,55.70,61.85,Silves (AM),,1991,0.354,0.385,0.614,0.187,5.46,87.92
179,,45.27,64.58,Tabatinga (AM),,1991,0.373,0.529,0.660,0.149,7.37,215.44
180,,43.21,65.15,Tapauá (AM),,1991,0.333,0.506,0.669,0.109,5.41,186.06
181,,75.82,57.34,Tefé (AM),,1991,0.151,0.378,0.539,0.017,5.07,83.86
182,,47.14,64.58,Tonantins (AM),,1991,0.349,0.510,0.660,0.126,6.27,190.81
183,,59.59,60.91,Uarini (AM),,1991,0.257,0.412,0.599,0.069,5.22,103.68
184,,54.43,62.17,Urucará (AM),,1991,0.290,0.411,0.620,0.096,4.58,103.53
185,,59.44,60.95,Urucurituba (AM),,1991,0.386,0.521,0.599,0.185,6.45,204.23
186,,59.59,60.91,Amapá (AP),,1991,0.254,0.374,0.599,0.073,5.21,82.23
187,,35.85,66.88,Calçoene (AP),,1991,0.391,0.535,0.698,0.160,7.71,223.63
188,,66.18,59.22,Cutias (AP),,1991,0.342,0.562,0.570,0.125,6.28,264.85
189,,49.86,63,Ferreira Gomes (AP),,1991,0.161,0.442,0.633,0.015,1.20,125.22
190,,35.23,67.07,Itaubal (AP),,1991,0.320,0.492,0.701,0.095,6.07,171.07
191,,62.53,60.01,Laranjal do Jari (AP),,1991,0.268,0.505,0.584,0.065,7.59,184.83
192,,46.28,63.93,Macapá (AP),,1991,0.349,0.599,0.649,0.109,6.13,331.72
193,,39.76,66.39,Mazagão (AP),,1991,0.525,0.653,0.690,0.322,8.70,464.14
194,,46.28,63.93,Oiapoque (AP),,1991,0.319,0.484,0.649,0.103,6.83,162.67
195,,43.26,64.74,Pedra Branca do Amapari (AP),,1991,0.388,0.599,0.662,0.147,5.32,333.21
196,,62.24,60.08,Porto Grande (AP),,1991,0.235,0.420,0.585,0.053,2.51,109.46
197,,46.28,63.93,Pracuúba (AP),,1991,0.407,0.567,0.649,0.183,8.73,273.29
198,,66.18,59.22,Santana (AP),,1991,0.203,0.378,0.570,0.039,5.89,84.07
199,,43.26,64.74,Serra do Navio (AP),,1991,0.426,0.575,0.662,0.203,7.51,287.03
200,,41.48,65.23,Tartarugalzinho (AP),,1991,0.416,0.578,0.671,0.186,8.01,292.45
201,,49.86,63,Vitória do Jari (AP),,1991,0.311,0.519,0.633,0.092,4.36,202.56
202,,66.18,59.22,Abaíra (BA),,1991,0.336,0.495,0.570,0.134,6.22,174.35
203,,53.91,63.17,Abaré (BA),,1991,0.352,0.456,0.636,0.150,6.73,136.50
204,,83.43,57.17,Acajutiba (BA),,1991,0.332,0.464,0.536,0.147,5.03,143.36
205,,100.82,54.23,Adustina (BA),,1991,0.285,0.441,0.487,0.108,6.18,124.44
206,,108.36,53.05,Água Fria (BA),,1991,0.206,0.424,0.468,0.044,1.64,112.28
207,,88.31,56.31,Aiquara (BA),,1991,0.230,0.357,0.522,0.065,4.19,73.95
208,,75.41,58.66,Alagoinhas (BA),,1991,0.293,0.453,0.561,0.099,3.93,134.02
209,,60.86,61.61,Alcobaça (BA),,1991,0.452,0.568,0.610,0.266,6.99,274.52
210,,74.73,58.78,Almadina (BA),,1991,0.272,0.459,0.563,0.078,3.55,139.33
211,,58.01,62.24,Amargosa (BA),,1991,0.261,0.373,0.621,0.077,3.65,81.41
212,,64.41,60.85,Amélia Rodrigues (BA),,1991,0.375,0.473,0.598,0.186,6.65,151.70
213,,75.52,58.64,América Dourada (BA),,1991,0.379,0.483,0.561,0.201,6.37,161.36
214,,101.79,54.08,Anagé (BA),,1991,0.290,0.427,0.485,0.118,5.07,113.88
215,,67.70,60.17,Andaraí (BA),,1991,0.191,0.385,0.586,0.031,3.87,87.62
216,,91.84,55.71,Andorinha (BA),,1991,0.279,0.462,0.512,0.092,5.53,141.95
217,,103.36,53.83,Angical (BA),,1991,0.206,0.416,0.481,0.044,2.99,106.70
218,,52.58,63.49,Anguera (BA),,1991,0.312,0.432,0.642,0.110,6.96,117.98
219,,69.82,59.74,Antas (BA),,1991,0.285,0.384,0.579,0.104,5.30,87.40
220,,68.86,59.94,Antônio Cardoso (BA),,1991,0.309,0.454,0.582,0.112,5.06,134.92
221,,58.87,62.05,Antônio Gonçalves (BA),,1991,0.249,0.348,0.618,0.072,5.41,69.76
222,,91.36,55.79,Aporá (BA),,1991,0.284,0.398,0.513,0.112,4.85,94.94
223,,60.86,61.61,Apuarema (BA),,1991,0.284,0.414,0.610,0.091,4.90,105.45
224,,62.20,61.32,Araças (BA),,1991,0.250,0.405,0.605,0.064,3.78,99.74
225,,100.04,54.36,Aracatu (BA),,1991,0.255,0.407,0.489,0.083,4.51,100.62
226,,57.53,62.35,Araci (BA),,1991,0.237,0.355,0.623,0.060,4.12,72.75
227,,87.12,56.52,Aramari (BA),,1991,0.244,0.370,0.525,0.075,2.20,80.04
228,,92.70,55.56,Arataca (BA),,1991,0.330,0.423,0.509,0.167,4.89,111.52
229,,94.69,55.23,Aratuípe (BA),,1991,0.247,0.411,0.504,0.073,2.21,102.93
230,,87.54,56.45,Aurelino Leal (BA),,1991,0.293,0.437,0.524,0.110,4.05,121.08
231,,97.03,54.84,Baianópolis (BA),,1991,0.263,0.406,0.497,0.090,2.91,100.11
232,,73.82,58.96,Baixa Grande (BA),,1991,0.259,0.387,0.566,0.079,4.55,88.78
233,,58.34,62.17,Banzaê (BA),,1991,0.269,0.372,0.620,0.084,5.70,81.05
234,,85.72,56.76,Barra (BA),,1991,0.234,0.410,0.529,0.059,2.29,102.33
235,,63.73,61,Barra da Estiva (BA),,1991,0.303,0.383,0.600,0.121,4.89,86.78
236,,63.10,61.13,Barra do Choça (BA),,1991,0.293,0.430,0.602,0.097,4.96,116.55
237,,63.79,60.98,Barra do Mendes (BA),,1991,0.219,0.448,0.600,0.039,3.72,129.95
238,,85,56.89,Barra do Rocha (BA),,1991,0.317,0.442,0.532,0.135,6.67,125.55
239,,97.03,54.84,Barreiras (BA),,1991,0.223,0.390,0.497,0.057,5.70,90.64
240,,65.79,60.57,Barro Alto (BA),,1991,0.408,0.585,0.593,0.196,6.33,305.76
241,,80.85,57.64,Barrocas (BA),,1991,0.279,0.418,0.544,0.096,5.34,107.80
242,,79.57,57.88,Barro Preto (BA),,1991,0.284,0.401,0.548,0.104,4.53,96.96
243,,96.36,54.95,Belmonte (BA),,1991,0.226,0.346,0.499,0.067,3.22,68.77
244,,87.63,56.43,Belo Campo (BA),,1991,0.310,0.464,0.524,0.123,4.80,143.84
245,,54.44,63.05,Biritinga (BA),,1991,0.252,0.443,0.634,0.057,4.68,126.25
