Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Regional 01 ( Centro ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;67.54;71.31;44.10;24.03;0.563;0.663;0.578;0.624;0.709;0.772;0.435;0.606;8.45;9.49;292.20;388.60
"Regional 02 ( Cavaleiro ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;67.65;71.07;43.70;24.55;0.560;0.662;0.580;0.614;0.711;0.768;0.425;0.614;8.23;9.69;295.61;364.85
"Regional 03 ( Curado ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;69.04;73.47;39.10;19.34;0.625;0.716;0.617;0.673;0.734;0.808;0.540;0.676;9.38;10.48;371.50;527.90
"Regional 04 ( Muribeca ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;67.90;71.47;42.80;23.68;0.579;0.679;0.581;0.623;0.715;0.775;0.467;0.647;7.92;9.54;297.77;385.04
"Regional 05 ( Prazeres ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;68.57;71.85;40.60;22.86;0.562;0.666;0.592;0.633;0.726;0.781;0.412;0.597;7.84;8.96;318.43;409.96
"Regional 06 ( Praias ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;71.78;75.55;30.90;14.82;0.703;0.784;0.785;0.800;0.780;0.843;0.568;0.714;8.75;9.93;1055.10;1163.37
"Regional 07 ( Guararapes ) (Jaboatão dos Guararapes . RM Recife)";"Regional Divisions";--;66.97;70.31;46.00;26.20;0.529;0.650;0.552;0.619;0.700;0.755;0.383;0.588;7.71;9.06;248.30;375.99
"RA-1 (Maceió . RM Maceió)";"Regional Divisions";--;71.59;78.57;28.30;10.92;0.771;0.878;0.856;0.902;0.777;0.893;0.690;0.839;10.15;11.49;1650.87;2187.16
"RA-2 (Maceió . RM Maceió)";"Regional Divisions";--;65.32;72.15;47.20;23.01;0.557;0.681;0.627;0.666;0.672;0.786;0.410;0.602;7.56;8.99;395.91;504.35
"RA-3 (Maceió . RM Maceió)";"Regional Divisions";--;70.10;76.72;32.30;13.34;0.714;0.817;0.809;0.862;0.752;0.862;0.599;0.735;9.34;10.56;1232.14;1705.93
