Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Vila Ajambi / Jardim Josiane / Cahoeira (Almirante Tamandaré , RM Curitiba)";HDU;--;74,60;78,81;17,80;8,20;0,704;0,825;0,740;0,809;0,827;0,897;0,570;0,773;10,81;12,28;799,10;1225,84
"Vila Grécia (Almirante Tamandaré , RM Curitiba)";HDU;--;67,58;69,17;32,80;22,00;0,484;0,603;0,552;0,626;0,710;0,736;0,290;0,475;8,03;8,88;247,62;392,56
"Algarve A (Alvorada , RM Porto Alegre)";HDU;--;74,24;78,79;15,00;8,20;0,698;0,790;0,707;0,781;0,821;0,897;0,586;0,704;11,07;10,84;650,02;1031,98
"Algarve B (Alvorada , RM Porto Alegre)";HDU;--;73,72;75,22;15,90;12,40;0,624;0,720;0,657;0,719;0,812;0,837;0,455;0,620;9,89;9,92;477,99;703,41
"Algarve / Intersul (Alvorada , RM Porto Alegre)";HDU;--;67,75;70,78;27,70;19,30;0,482;0,600;0,587;0,625;0,713;0,763;0,268;0,454;7,52;8,28;308,48;391,41
"Americana / Sumaré A (Alvorada , RM Porto Alegre)";HDU;--;73,72;74,93;15,90;12,80;0,624;0,707;0,657;0,718;0,812;0,832;0,455;0,592;9,89;10,19;477,99;695,90
"Americana / Sumaré B (Alvorada , RM Porto Alegre)";HDU;--;68,90;71,87;25,10;17,40;0,542;0,665;0,616;0,651;0,732;0,781;0,353;0,579;8,53;9,20;370,48;458,92
"Americana / Sumaré C (Alvorada , RM Porto Alegre)";HDU;--;73,20;75,22;16,80;12,40;0,578;0,720;0,652;0,719;0,803;0,837;0,368;0,620;9,83;9,92;463,64;703,41
"Americana / Sumaré D (Alvorada , RM Porto Alegre)";HDU;--;68,90;72,59;25,10;16,20;0,542;0,668;0,616;0,672;0,732;0,793;0,353;0,559;8,53;9,77;370,48;525,29
"Americana / Sumaré E (Alvorada , RM Porto Alegre)";HDU;--;73,20;74,93;16,80;12,80;0,578;0,707;0,652;0,718;0,803;0,832;0,368;0,592;9,83;10,19;463,64;695,90
"Aparecida (Alvorada , RM Porto Alegre)";HDU;--;68,90;72,59;25,10;16,20;0,542;0,668;0,616;0,672;0,732;0,793;0,353;0,559;8,53;9,77;370,48;525,29
"Bela Vista / Cocão / Piratini / Formosa / Maria Regina (Alvorada , RM Porto Alegre)";HDU;--;67,75;73,39;27,70;15,00;0,482;0,696;0,587;0,696;0,713;0,807;0,268;0,601;7,52;9,90;308,48;607,04
"Centro / Americana / Sumaré (Alvorada , RM Porto Alegre)";HDU;--;74,11;77,24;15,30;9,90;0,656;0,745;0,689;0,745;0,819;0,871;0,501;0,638;10,69;10,08;581,05;826,21
"Cocão / Piratini (Alvorada , RM Porto Alegre)";HDU;--;69,28;71,94;24,20;17,30;0,531;0,641;0,619;0,658;0,738;0,782;0,327;0,513;8,53;8,98;377,25;480,11
"Formosa / Maria Regina A (Alvorada , RM Porto Alegre)";HDU;--;73,20;77,27;16,80;9,90;0,578;0,738;0,652;0,746;0,803;0,871;0,368;0,618;9,83;9,22;463,64;828,63
"Formosa / Maria Regina B (Alvorada , RM Porto Alegre)";HDU;--;67,75;70,78;27,70;19,30;0,482;0,600;0,587;0,625;0,713;0,763;0,268;0,454;7,52;8,28;308,48;391,41
