Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Santiago (RS)";Municipality;431740;70.93;75.07;77.93;17.22;13.80;9.37;0.559;0.696;0.766;0.616;0.693;0.746;0.766;0.835;0.882;0.371;0.583;0.682;11.46;11.67;10.78;370.52;597.58;828.78
"Santo Ângelo (RS)";Municipality;431750;70.12;73.82;76.78;18.89;15.70;10.87;0.568;0.685;0.772;0.651;0.707;0.765;0.752;0.814;0.863;0.374;0.558;0.696;10.78;10.81;11.02;458.26;650.63;936.27
"Santo Antônio da Patrulha (RS)";Municipality;431760;69.86;72.06;76.97;19.45;18.70;10.30;0.508;0.620;0.717;0.625;0.642;0.718;0.748;0.784;0.866;0.281;0.474;0.594;10.98;10.65;9.62;390.71;433.39;696.41
"Santo Antônio das Missões (RS)";Municipality;431770;67.61;69.85;75.10;24.64;23.00;12.60;0.435;0.582;0.686;0.551;0.606;0.672;0.710;0.748;0.835;0.210;0.436;0.576;9.92;10.59;10.64;246;347.77;522.77
"Santo Antônio do Palma (RS)";Municipality;431755;70.59;75.63;76.15;17.90;13.00;11.20;0.453;0.667;0.764;0.579;0.699;0.787;0.760;0.844;0.853;0.211;0.503;0.665;9.23;10.53;10.90;293.23;618.15;1069.61
"Santo Antônio do Planalto (RS)";Municipality;431775;70.90;76.50;78.11;17.28;11.70;9.00;0.510;0.693;0.759;0.630;0.642;0.701;0.765;0.858;0.885;0.276;0.605;0.705;12.12;12.56;9.54;403.53;435.13;626.67
"Santo Augusto (RS)";Municipality;431780;66.98;73.05;75.42;26.23;17.00;12.20;0.480;0.627;0.739;0.616;0.641;0.753;0.700;0.801;0.840;0.256;0.480;0.637;9.89;10.22;10.79;368.56;431.68;866.86
"Santo Cristo (RS)";Municipality;431790;69.06;71.09;74.20;21.21;20.50;13.80;0.503;0.642;0.738;0.570;0.643;0.746;0.734;0.768;0.820;0.304;0.535;0.656;10.57;11.24;11.35;278.32;438.54;832.40
"Santo Expedito do Sul (RS)";Municipality;431795;68.02;72.40;76.15;23.63;18.10;11.30;0.379;0.627;0.732;0.470;0.602;0.679;0.717;0.790;0.853;0.161;0.518;0.677;9.31;11.95;10.76;148.78;337.96;547.94
"São Borja (RS)";Municipality;431800;70.26;72.62;76.61;18.60;17.70;10.70;0.540;0.637;0.736;0.632;0.663;0.720;0.754;0.794;0.860;0.331;0.490;0.643;10.18;10.54;10.73;409.49;496.09;705.72
"São Domingos do Sul (RS)";Municipality;431805;70.06;74.82;75.33;19.01;14.20;13.10;0.568;0.690;0.763;0.651;0.695;0.780;0.751;0.830;0.839;0.375;0.570;0.680;10.66;11.21;11.90;459.62;604.00;1025.84
"São Francisco de Assis (RS)";Municipality;431810;68.22;71.54;74.10;23.15;19.70;14.00;0.445;0.558;0.675;0.547;0.609;0.681;0.720;0.776;0.818;0.223;0.367;0.552;9.64;10.26;10.77;239.95;353.50;553.81
"São Francisco de Paula (RS)";Municipality;431820;65.70;71.67;76.57;29.63;19.40;10.70;0.464;0.592;0.685;0.608;0.657;0.701;0.678;0.778;0.860;0.243;0.405;0.534;9.36;9.85;9.93;350.67;476.80;628.15
"São Gabriel (RS)";Municipality;431830;70;72.26;74.31;19.16;18.40;13.70;0.518;0.624;0.699;0.632;0.668;0.711;0.750;0.788;0.822;0.294;0.462;0.585;9.89;10.15;10.02;407.91;509.43;667.06
"São Jerônimo (RS)";Municipality;431840;68.20;70.20;74.34;23.22;22.30;13.70;0.478;0.609;0.696;0.639;0.696;0.734;0.720;0.753;0.822;0.238;0.430;0.560;10.41;9.01;9.54;425.91;607.20;768.93
"São João da Urtiga (RS)";Municipality;431842;69.06;71.28;74.67;21.21;20.20;13.20;0.428;0.572;0.694;0.506;0.616;0.702;0.734;0.771;0.828;0.211;0.395;0.575;10.55;10.90;11.42;186.35;370.63;632.23
"São João do Polêsine (RS)";Municipality;431843;68.20;71.00;75.84;23.22;20.70;12.40;0.499;0.686;0.748;0.605;0.709;0.748;0.720;0.767;0.847;0.286;0.593;0.661;9.92;11.20;11.09;346.30;659.63;841.33
"São Jorge (RS)";Municipality;431844;68.20;70.98;75.73;23.22;20.80;12.60;0.506;0.629;0.732;0.604;0.657;0.750;0.720;0.766;0.846;0.298;0.494;0.617;10.35;10.65;9.88;344.10;478.59;853.60
"São José das Missões (RS)";Municipality;431845;67.67;70.38;71.90;24.48;21.90;17.40;0.326;0.540;0.651;0.492;0.586;0.652;0.711;0.756;0.782;0.099;0.356;0.542;9.09;10.34;11.90;170.42;306.72;462.15
"São José do Herval (RS)";Municipality;431846;69.04;71.63;75.80;21.25;19.50;11.70;0.407;0.555;0.717;0.533;0.618;0.701;0.734;0.777;0.847;0.172;0.356;0.622;8.73;10.31;9.85;220.13;373.92;626.93
"São José do Hortêncio (RS)";Municipality;431848;70.14;72.57;74.46;18.85;17.80;13.50;0.481;0.624;0.707;0.584;0.651;0.717;0.752;0.793;0.824;0.253;0.470;0.597;11.66;9.82;9.64;303.05;460.47;693.46
"São José do Inhacorá (RS)";Municipality;431849;70.01;72.60;74.29;19.11;17.80;13.70;0.441;0.602;0.747;0.517;0.609;0.723;0.750;0.793;0.822;0.221;0.451;0.702;11.17;10.93;12.72;199.96;354.04;720.69
"São José do Norte (RS)";Municipality;431850;62.56;68.39;72.52;39.15;26.20;16.40;0.360;0.481;0.623;0.527;0.579;0.663;0.626;0.723;0.792;0.141;0.266;0.461;8.41;8.31;8.30;212.82;294.27;493.78
"São José do Ouro (RS)";Municipality;431860;67.01;71.28;75.73;26.14;20.20;11.80;0.489;0.653;0.755;0.581;0.662;0.759;0.700;0.771;0.846;0.287;0.546;0.669;10.54;11.35;11.11;297;492.47;901.51
"São José dos Ausentes (RS)";Municipality;431862;66.16;71.61;73.05;28.38;19.60;15.60;0.420;0.512;0.663;0.569;0.616;0.674;0.686;0.777;0.801;0.190;0.280;0.541;7.89;9.76;10.03;275.55;368.61;529.71
"São José do Sul (RS)";Municipality;431861;69.06;72.69;75.14;21.21;17.60;13.40;0.416;0.576;0.725;0.588;0.675;0.774;0.734;0.795;0.836;0.167;0.356;0.590;8.20;10.67;10.92;310.45;535.09;989.48
"São Leopoldo (RS)";Municipality;431870;67.91;73.35;76.65;23.90;14.21;10.09;0.543;0.656;0.739;0.684;0.725;0.766;0.715;0.806;0.861;0.327;0.482;0.612;9.90;9.77;9.70;565.03;729.32;939.93
"São Lourenço do Sul (RS)";Municipality;431880;69.15;72.39;75.95;21;18.10;11.50;0.469;0.589;0.687;0.618;0.653;0.722;0.736;0.790;0.849;0.227;0.396;0.528;10.04;9.63;8.64;374.16;466.10;713.88
"São Luiz Gonzaga (RS)";Municipality;431890;67.13;70.84;76.31;25.83;21.00;11.10;0.520;0.634;0.741;0.612;0.667;0.718;0.702;0.764;0.855;0.328;0.501;0.664;10.30;10.64;10.69;359.76;507.06;698.77
"São Marcos (RS)";Municipality;431900;70.68;75.07;76.31;17.73;13.80;11.10;0.555;0.695;0.768;0.702;0.731;0.775;0.761;0.835;0.855;0.320;0.551;0.683;11.05;11.27;10.55;631.33;756.19;991.51
"São Martinho (RS)";Municipality;431910;68.20;70.53;74.78;23.22;21.60;13.10;0.470;0.638;0.726;0.525;0.663;0.734;0.720;0.759;0.830;0.275;0.515;0.628;10.35;11.00;10.61;209.62;494.62;771.81
"São Martinho da Serra (RS)";Municipality;431912;70.14;73.17;75.89;18.85;16.80;11.60;0.369;0.541;0.652;0.515;0.646;0.659;0.752;0.803;0.848;0.130;0.305;0.496;8.66;9.83;11.00;197.44;445.65;482.31
"São Miguel das Missões (RS)";Municipality;431915;65.37;71.30;74.26;30.56;20.20;13.80;0.403;0.570;0.667;0.527;0.667;0.674;0.673;0.772;0.821;0.184;0.360;0.537;9.12;9.94;9.09;212.35;506.72;531.71
"São Nicolau (RS)";Municipality;431920;66.64;68.98;71.69;27.10;24.90;17.70;0.393;0.517;0.645;0.537;0.549;0.658;0.694;0.733;0.778;0.163;0.343;0.523;8.89;9.82;10.59;226.80;243.47;479.55
"São Paulo das Missões (RS)";Municipality;431930;68;71.55;74.52;23.67;19.70;13.40;0.441;0.567;0.692;0.492;0.568;0.688;0.717;0.776;0.825;0.243;0.413;0.584;9.94;10.50;11.23;171.31;274.55;577.86
"São Pedro da Serra (RS)";Municipality;431935;70.26;72.57;76.03;18.60;17.80;11.40;0.546;0.639;0.739;0.658;0.691;0.748;0.754;0.793;0.851;0.328;0.477;0.634;7.85;10.19;10.67;481.30;590.72;842.22
"São Pedro das Missões (RS)";Municipality;431936;67.67;70.91;73.26;24.48;20.90;15.20;0.398;0.471;0.664;0.452;0.471;0.644;0.711;0.765;0.804;0.196;0.290;0.566;7.81;9.32;10.83;132.86;150.04;441.36
"São Pedro do Butiá (RS)";Municipality;431937;69.90;72.60;75.55;19.36;17.80;12.00;0.553;0.666;0.763;0.607;0.642;0.760;0.748;0.793;0.843;0.373;0.580;0.694;9.45;11.70;11.05;349.08;434.48;905.55
"São Pedro do Sul (RS)";Municipality;431940;66.64;69.22;74.45;27.10;24.40;13.50;0.476;0.614;0.709;0.571;0.655;0.698;0.694;0.737;0.824;0.272;0.480;0.619;10.59;10.93;10.34;279.98;471.40;614.89
"São Sebastião do Caí (RS)";Municipality;431950;69.65;75.20;76.11;19.91;13.60;12.10;0.552;0.662;0.739;0.668;0.718;0.734;0.744;0.837;0.852;0.339;0.483;0.646;10.43;9.63;10.49;512.34;695.40;772.04
"São Sepé (RS)";Municipality;431960;68.02;72.68;77.23;23.63;17.60;10.00;0.506;0.614;0.708;0.617;0.645;0.708;0.717;0.795;0.871;0.293;0.451;0.576;10.73;10.02;9.73;371.60;443.68;656.77
"São Valentim (RS)";Municipality;431970;68.75;71.51;74.18;21.91;19.70;13.90;0.458;0.544;0.720;0.601;0.608;0.745;0.729;0.775;0.820;0.219;0.342;0.612;10.16;10.74;10.80;335.89;351.28;826.20
"São Valentim do Sul (RS)";Municipality;431971;70.59;75.42;75.90;17.90;13.20;12.30;0.502;0.671;0.764;0.596;0.711;0.776;0.760;0.840;0.848;0.280;0.505;0.677;11.31;12.18;9.93;326.54;665.98;1000.93
"São Valério do Sul (RS)";Municipality;431973;67.93;71.61;73.97;23.87;19.60;14.20;0.431;0.532;0.642;0.470;0.554;0.674;0.716;0.777;0.816;0.238;0.349;0.480;9.64;8.27;8.63;148.84;251.57;530.07
"São Vendelino (RS)";Municipality;431975;71.59;75.42;76.14;15.92;13.30;11.30;0.509;0.655;0.754;0.622;0.687;0.743;0.777;0.840;0.852;0.273;0.488;0.677;10.34;9.60;11.28;383.38;575.72;814.28
"São Vicente do Sul (RS)";Municipality;431980;70.14;72.51;74.86;18.85;17.90;12.90;0.488;0.589;0.685;0.617;0.673;0.698;0.752;0.792;0.831;0.250;0.384;0.553;10.34;9.64;9.19;371.04;527.85;614.13
"Sapiranga (RS)";Municipality;431990;69.18;71.65;74.93;20.95;19.50;12.80;0.463;0.597;0.711;0.636;0.691;0.722;0.736;0.778;0.832;0.212;0.395;0.598;9.47;8.76;9.45;419.15;589.53;713.99
"Sapucaia do Sul (RS)";Municipality;432000;69.87;72.45;75.65;19.43;18.00;11.90;0.513;0.633;0.726;0.625;0.677;0.726;0.748;0.791;0.844;0.288;0.474;0.624;10.04;9.97;9.71;392.11;539.25;733.28
"Sarandi (RS)";Municipality;432010;70.93;74.26;76.50;17.22;15.00;11.60;0.535;0.677;0.777;0.603;0.687;0.776;0.766;0.821;0.858;0.332;0.549;0.705;10.28;10.51;10.54;341.28;574.06;1000.86
"Seberi (RS)";Municipality;432020;69.04;72.66;76.91;21.25;17.70;10.30;0.406;0.597;0.723;0.514;0.619;0.706;0.734;0.794;0.865;0.178;0.433;0.620;9.41;10.76;10.51;196.38;375.70;645.51
"Sede Nova (RS)";Municipality;432023;70.23;72.56;78.13;18.66;17.80;8.90;0.451;0.571;0.712;0.532;0.611;0.751;0.754;0.793;0.886;0.229;0.384;0.543;9.93;9.90;10.17;219.49;359.43;856.09
"Segredo (RS)";Municipality;432026;65.32;68.71;73.63;30.69;25.50;14.70;0.394;0.530;0.659;0.517;0.573;0.673;0.672;0.729;0.811;0.176;0.357;0.525;9.72;9.65;10.14;200.06;282.83;528.42
"Selbach (RS)";Municipality;432030;68.61;74.89;75.47;22.25;14.00;12.90;0.570;0.741;0.777;0.618;0.800;0.785;0.727;0.832;0.841;0.412;0.611;0.710;10.54;11.01;10.69;374.99;1164.70;1055.91
"Senador Salgado Filho (RS)";Municipality;432032;68.20;71.10;74.02;23.22;20.50;14.10;0.393;0.590;0.693;0.493;0.583;0.701;0.720;0.768;0.817;0.171;0.458;0.581;7.73;11.36;11.44;172.29;301.47;628.28
"Sentinela do Sul (RS)";Municipality;432035;67.42;71.56;74.57;25.11;19.70;13.30;0.375;0.560;0.671;0.554;0.601;0.671;0.707;0.776;0.826;0.135;0.377;0.545;8.28;9.87;10.63;251.84;337.01;519.10
"Serafina Corrêa (RS)";Municipality;432040;70;73.31;75.56;19.16;16.60;12.80;0.561;0.678;0.760;0.658;0.728;0.755;0.750;0.805;0.843;0.358;0.531;0.690;12.04;11.13;11.10;480.16;742.25;877.24
"Sério (RS)";Municipality;432045;68.63;71.87;75.82;22.20;19.10;11.70;0.367;0.522;0.652;0.531;0.589;0.695;0.727;0.781;0.847;0.128;0.310;0.471;6.60;8.84;8.89;217.90;312.91;606.03
"Sertão (RS)";Municipality;432050;70.12;74.82;75.23;18.89;14.20;13.20;0.495;0.684;0.751;0.552;0.676;0.746;0.752;0.830;0.837;0.293;0.571;0.678;10.56;11.43;10.96;247.85;538.09;827.95
"Sertão Santana (RS)";Municipality;432055;64.82;70.61;74.94;32.12;21.50;12.80;0.409;0.577;0.689;0.577;0.668;0.737;0.664;0.760;0.832;0.179;0.379;0.534;8.84;9.71;8.96;290.73;510.51;783.19
"Sete de Setembro (RS)";Municipality;432057;68;71.76;73.57;23.67;19.30;14.80;0.389;0.532;0.683;0.468;0.552;0.682;0.717;0.779;0.810;0.175;0.350;0.577;10.77;11.22;11.45;147.06;248.72;557.15
"Severiano de Almeida (RS)";Municipality;432060;69.97;73.65;76.66;19.20;16.00;10.60;0.451;0.633;0.752;0.533;0.657;0.738;0.750;0.811;0.861;0.230;0.475;0.670;10.66;11.05;10.02;221.11;477.91;791.50
"Silveira Martins (RS)";Municipality;432065;70.61;75.52;76.14;17.87;13.10;11.30;0.502;0.652;0.742;0.589;0.675;0.744;0.760;0.842;0.852;0.282;0.487;0.644;10.24;10.75;10.46;312.50;534.42;817.67
"Sinimbu (RS)";Municipality;432067;67.31;69.87;72.50;25.38;23.00;16.40;0.374;0.513;0.631;0.553;0.624;0.697;0.705;0.748;0.792;0.134;0.289;0.456;9.57;8.51;8.87;250.21;388.60;610.76
"Sobradinho (RS)";Municipality;432070;66.53;71.20;76.66;27.39;20.30;10.60;0.538;0.650;0.743;0.623;0.670;0.735;0.692;0.770;0.861;0.361;0.532;0.647;10.39;10.48;10.16;386.81;517.65;775.79
"Soledade (RS)";Municipality;432080;69.06;71.13;76.66;21.21;20.50;10.60;0.522;0.633;0.731;0.615;0.674;0.727;0.734;0.769;0.861;0.316;0.489;0.625;10.20;10.17;9.27;368.12;528.85;737.92
"Tabaí (RS)";Municipality;432085;66.23;69.74;75.05;28.18;23.20;12.70;0.379;0.602;0.701;0.509;0.641;0.694;0.687;0.746;0.834;0.156;0.457;0.595;8.68;10.67;10.89;189.90;430.96;599.99
"Tapejara (RS)";Municipality;432090;67.42;72.99;75.23;25.11;17.10;13.20;0.490;0.660;0.760;0.608;0.683;0.763;0.707;0.800;0.837;0.274;0.526;0.688;10.49;10.70;9.97;351.62;559.97;922.28
"Tapera (RS)";Municipality;432100;67.18;71.86;75.07;25.71;19.10;13.50;0.553;0.660;0.747;0.640;0.698;0.743;0.703;0.781;0.835;0.376;0.527;0.672;10.91;10.79;10.90;429.88;616.15;812.48
"Tapes (RS)";Municipality;432110;67.84;71.84;76.69;24.07;19.10;10.60;0.498;0.619;0.695;0.646;0.681;0.699;0.714;0.781;0.862;0.267;0.447;0.556;10.07;9.54;9.59;445.44;552.70;620.13
"Taquara (RS)";Municipality;432120;72.29;74.96;77.82;14.60;13.90;9.15;0.537;0.651;0.727;0.679;0.714;0.754;0.788;0.833;0.880;0.289;0.463;0.579;9.67;9.73;9.61;548.71;678.38;871.42
"Taquari (RS)";Municipality;432130;67.52;72.94;75.95;24.86;17.20;11.50;0.498;0.641;0.733;0.603;0.672;0.737;0.709;0.799;0.849;0.289;0.491;0.629;10.61;10.81;8.84;341.64;522.53;786.91
"Taquaruçu do Sul (RS)";Municipality;432132;69.04;72.62;74.80;21.25;17.70;13.00;0.435;0.588;0.739;0.595;0.607;0.768;0.734;0.794;0.830;0.189;0.421;0.633;9.73;10.37;10.60;324.06;348.87;954.19
"Tavares (RS)";Municipality;432135;69.65;72.06;74.69;19.91;18.70;13.20;0.426;0.543;0.656;0.608;0.648;0.692;0.744;0.784;0.828;0.171;0.315;0.492;10.06;8.87;9.89;350.69;450.71;594.12
"Tenente Portela (RS)";Municipality;432140;67.67;69.91;74.81;24.48;22.90;13.00;0.480;0.607;0.708;0.547;0.609;0.709;0.711;0.749;0.830;0.285;0.491;0.603;9.63;10.35;10.34;241.05;354.86;659.27
"Terra de Areia (RS)";Municipality;432143;68.20;71.54;74.75;23.22;19.70;13.10;0.487;0.611;0.689;0.606;0.662;0.699;0.720;0.776;0.829;0.265;0.444;0.565;10.28;10.16;9.46;347.59;493.64;620.36
"Teutônia (RS)";Municipality;432145;69.81;74.23;76.31;19.55;15.10;11.80;0.535;0.664;0.747;0.654;0.697;0.751;0.747;0.821;0.855;0.314;0.512;0.650;10.56;10.27;10.79;467.57;610.11;854.63
"Tio Hugo (RS)";Municipality;432146;68.61;71.86;75.69;22.25;19.10;11.80;0.428;0.595;0.742;0.540;0.640;0.709;0.727;0.781;0.845;0.200;0.422;0.682;2.25;11.24;10.45;230.73;428.60;660.04
"Tiradentes do Sul (RS)";Municipality;432147;69.04;71.99;73.92;21.26;18.90;14.30;0.392;0.551;0.689;0.484;0.577;0.705;0.734;0.783;0.815;0.170;0.370;0.569;9.89;9.49;10.58;162.93;289.15;644.85
"Toropi (RS)";Municipality;432149;66.87;70.06;74.34;26.52;22.60;13.60;0.368;0.520;0.683;0.507;0.579;0.680;0.698;0.751;0.822;0.141;0.323;0.569;9.53;10.33;10.53;187.74;292.92;551.50
"Torres (RS)";Municipality;432150;69.69;75.78;76.73;19.80;12.70;11.30;0.538;0.681;0.762;0.657;0.702;0.750;0.745;0.846;0.862;0.319;0.532;0.685;10.36;10.17;10.38;476.87;631.08;853.62
"Tramandaí (RS)";Municipality;432160;67.84;72.82;75.51;24.07;17.40;12.10;0.504;0.633;0.719;0.622;0.708;0.727;0.714;0.797;0.842;0.288;0.450;0.606;10.18;9.85;9.31;383.76;655.46;737.84
"Travesseiro (RS)";Municipality;432162;66.64;69.79;75.32;27.10;23.20;12.30;0.440;0.569;0.701;0.559;0.639;0.735;0.694;0.747;0.839;0.220;0.385;0.559;9.19;10.16;10.31;258.94;427.53;777.34
"Três Arroios (RS)";Municipality;432163;70.79;75.57;76.08;17.51;13.00;11.40;0.482;0.637;0.791;0.612;0.649;0.843;0.763;0.843;0.851;0.240;0.473;0.689;10.33;10.89;10.34;360.10;454.08;1518.78
"Três Cachoeiras (RS)";Municipality;432166;69.65;72.59;75.82;19.91;17.80;11.70;0.509;0.638;0.718;0.685;0.670;0.722;0.744;0.793;0.847;0.258;0.489;0.606;10.07;10.22;10.16;568.37;516.86;713.83
"Três Coroas (RS)";Municipality;432170;67.67;69.97;74.75;24.48;22.80;13.10;0.478;0.610;0.710;0.631;0.695;0.740;0.711;0.750;0.829;0.243;0.435;0.584;10.07;9.12;8.90;405.84;604.95;799.41
"Três de Maio (RS)";Municipality;432180;70;73.04;75.02;19.16;17.00;13.50;0.533;0.655;0.759;0.595;0.665;0.756;0.750;0.801;0.834;0.339;0.528;0.694;10.66;10.43;11.55;324.98;501.81;881.15
"Três Forquilhas (RS)";Municipality;432183;67.91;70.43;73.80;23.89;21.80;14.40;0.378;0.541;0.662;0.514;0.599;0.661;0.715;0.757;0.813;0.147;0.350;0.539;8.39;10.17;10.34;196.54;332.19;489.32
"Três Palmeiras (RS)";Municipality;432185;69.04;72.56;74.92;21.25;17.80;12.90;0.388;0.594;0.703;0.508;0.653;0.747;0.734;0.793;0.832;0.157;0.405;0.560;9.57;10.31;10.84;189.37;466.62;835.88
"Três Passos (RS)";Municipality;432190;70.23;75.77;76.47;18.66;12.70;10.90;0.523;0.686;0.768;0.598;0.671;0.745;0.754;0.846;0.858;0.317;0.569;0.710;10.80;11.16;10.63;331.48;521.62;823.33
"Trindade do Sul (RS)";Municipality;432195;69.06;71.11;72.19;21.21;20.50;16.90;0.378;0.561;0.687;0.464;0.568;0.675;0.734;0.769;0.787;0.158;0.405;0.610;9.30;10.48;10.94;143.39;273.85;532.27
"Triunfo (RS)";Municipality;432200;67.35;71.65;77.35;25.29;19.50;9.80;0.492;0.628;0.733;0.633;0.685;0.717;0.706;0.778;0.873;0.267;0.465;0.629;10.30;10.07;10.48;411.92;566.76;695.08
"Tucunduva (RS)";Municipality;432210;70.01;72.56;73.95;19.11;17.80;14.20;0.562;0.661;0.747;0.632;0.662;0.748;0.750;0.793;0.816;0.374;0.549;0.682;10.71;10.29;11.57;409.37;491.30;839.53
"Tunas (RS)";Municipality;432215;65.01;69.90;72.61;31.57;22.90;16.20;0.319;0.484;0.657;0.479;0.526;0.659;0.667;0.748;0.794;0.102;0.288;0.541;8.01;9.05;10.10;157.71;210.59;482.50
"Tupanci do Sul (RS)";Municipality;432218;65.83;71.50;74.09;29.27;19.80;14.00;0.401;0.570;0.694;0.471;0.619;0.688;0.681;0.775;0.818;0.201;0.387;0.595;7.52;11.26;11.00;150.23;377.39;577.85
"Tupanciretã (RS)";Municipality;432220;67.13;71.61;74.67;25.84;19.60;13.20;0.512;0.612;0.709;0.619;0.651;0.721;0.702;0.777;0.828;0.308;0.453;0.596;10.49;10.08;10.24;376.76;460.02;708.79
"Tupandi (RS)";Municipality;432225;70.23;73.38;75.18;18.66;16.40;13.30;0.405;0.654;0.718;0.575;0.686;0.742;0.754;0.806;0.836;0.153;0.506;0.597;7.87;9.53;8.73;285.91;570.05;808.39
"Tuparendi (RS)";Municipality;432230;69.97;72.62;74.91;19.20;17.70;12.90;0.495;0.642;0.728;0.563;0.660;0.734;0.750;0.794;0.832;0.288;0.506;0.632;10.36;11.30;10.86;266.06;486.08;768.25
"Turuçu (RS)";Municipality;432232;66.64;68.72;73.81;27.10;25.50;14.40;0.352;0.528;0.629;0.535;0.606;0.685;0.694;0.729;0.814;0.117;0.333;0.446;8.21;9.67;8.59;223.60;347.37;566.71
"Ubiretama (RS)";Municipality;432234;68.20;72.28;73.55;23.22;18.30;14.80;0.432;0.554;0.700;0.497;0.553;0.691;0.720;0.788;0.809;0.226;0.390;0.613;9.08;11.30;11.45;176.62;249.61;590.64
"União da Serra (RS)";Municipality;432235;71.86;75.43;76.14;15.40;13.20;11.30;0.401;0.664;0.733;0.550;0.703;0.786;0.781;0.841;0.852;0.150;0.495;0.587;9.73;12.07;10.40;244.72;635.85;1068.08
"Unistalda (RS)";Municipality;432237;67.13;71.64;73.25;25.84;19.50;15.20;0.376;0.552;0.649;0.494;0.556;0.626;0.702;0.777;0.804;0.153;0.389;0.542;7.92;11.66;9.63;173.46;253.81;392.38
"Uruguaiana (RS)";Municipality;432240;67.91;73.65;76.80;23.90;16.00;11.75;0.550;0.663;0.744;0.653;0.688;0.722;0.715;0.811;0.863;0.357;0.523;0.661;10.17;10.34;10.48;465.95;579.65;714.26
"Vacaria (RS)";Municipality;432250;69.04;72.13;75.25;21.25;18.60;12.40;0.535;0.641;0.721;0.633;0.701;0.740;0.734;0.786;0.838;0.329;0.478;0.605;10.59;9.93;9.50;410.45;626.15;797.86
"Vale do Sol (RS)";Municipality;432253;68.12;70.54;73.78;23.40;21.60;14.40;0.335;0.496;0.624;0.555;0.615;0.681;0.719;0.759;0.813;0.094;0.261;0.439;9.15;8.70;8.87;252.93;367.71;553.23
"Vale Real (RS)";Municipality;432254;68.23;71.02;76.01;23.13;20.70;11.40;0.451;0.604;0.737;0.579;0.676;0.739;0.721;0.767;0.850;0.220;0.424;0.636;8.41;9.02;10.46;293.55;536.91;795.41
"Vale Verde (RS)";Municipality;432252;67.28;70.57;73.93;25.46;21.60;14.20;0.403;0.549;0.646;0.613;0.638;0.666;0.705;0.760;0.816;0.151;0.342;0.497;8.94;9.29;9.97;362.81;423.63;503.24
"Vanini (RS)";Municipality;432255;68.20;70.98;75.13;23.22;20.80;12.60;0.563;0.673;0.757;0.575;0.658;0.736;0.720;0.766;0.836;0.432;0.606;0.704;11.36;12.09;11.87;287.03;481.18;780.56
"Venâncio Aires (RS)";Municipality;432260;69.06;71.36;74.09;21.21;20.00;13.77;0.477;0.610;0.712;0.603;0.669;0.736;0.734;0.773;0.818;0.245;0.438;0.600;10.05;9.53;9.29;340.02;513.82;779.48
"Vera Cruz (RS)";Municipality;432270;68.23;70.25;75.52;23.13;22.20;12.10;0.456;0.582;0.737;0.600;0.649;0.738;0.721;0.754;0.842;0.219;0.403;0.643;10.52;9.93;10.39;335.01;452.76;790.95
"Veranópolis (RS)";Municipality;432280;71.59;74.85;75.29;15.92;14.10;12.40;0.600;0.702;0.773;0.678;0.753;0.797;0.777;0.831;0.838;0.410;0.554;0.692;11.40;10.61;11.94;544.35;866.08;1141.67
"Vespasiano Correa (RS)";Municipality;432285;71.32;74.45;76.31;16.45;14.70;11.80;0.430;0.639;0.723;0.571;0.678;0.758;0.772;0.824;0.855;0.180;0.467;0.584;9.76;10.97;9.96;279.85;542.16;895.32
"Viadutos (RS)";Municipality;432290;69.69;71.77;76.81;19.80;19.30;10.40;0.417;0.567;0.702;0.595;0.658;0.715;0.745;0.780;0.864;0.163;0.355;0.561;10.57;10.63;10.01;324.93;479.85;683.03
"Viamão (RS)";Municipality;432300;70.50;75.64;76.95;18.10;12.83;9.38;0.511;0.620;0.717;0.626;0.667;0.720;0.758;0.844;0.866;0.281;0.423;0.591;9.71;9.47;9.54;393.26;507.32;707.05
"Vicente Dutra (RS)";Municipality;432310;67.30;70.43;73.52;25.40;21.80;14.80;0.358;0.489;0.638;0.491;0.550;0.656;0.705;0.757;0.809;0.133;0.281;0.489;8.73;8.33;8.56;169.45;244.45;475.13
"Victor Graeff (RS)";Municipality;432320;68.23;70.30;75.37;23.13;22.10;13.10;0.516;0.664;0.777;0.597;0.701;0.774;0.721;0.755;0.840;0.320;0.552;0.722;10.81;11.66;10.12;328.36;625.99;989.66
"Vila Flores (RS)";Municipality;432330;67.78;72.53;77.04;24.21;17.90;10.20;0.563;0.621;0.742;0.681;0.670;0.725;0.713;0.792;0.867;0.368;0.452;0.650;10.36;11.09;9.79;554.45;516.73;728.71
"Vila Lângaro (RS)";Municipality;432335;69.54;71.77;75.34;20.15;19.30;13.10;0.412;0.616;0.705;0.530;0.646;0.759;0.742;0.780;0.839;0.178;0.464;0.551;7.96;11.87;10.40;216.37;446.52;902.87
