Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Major Isidoro (AL)";Municipality;270440;55.93;63.06;70.31;83.93;51.11;28.50;0.281;0.365;0.566;0.437;0.441;0.566;0.516;0.634;0.755;0.098;0.174;0.424;6.77;4.87;8.92;121.50;124.09;270.04
"Maragogi (AL)";Municipality;270450;59.68;67.81;70.96;65.08;33.98;26.50;0.278;0.419;0.574;0.421;0.465;0.556;0.578;0.714;0.766;0.088;0.222;0.443;4.98;5.67;8.24;109.95;144.21;253.86
"Maravilha (AL)";Municipality;270460;58.28;64.82;69.54;71.73;44.34;31.00;0.300;0.343;0.569;0.367;0.381;0.539;0.555;0.664;0.742;0.132;0.160;0.460;4.49;5.32;9.10;78.36;85.80;229.39
"Marechal Deodoro (AL)";Municipality;270470;62.20;67.02;72.55;53.97;36.56;21.90;0.349;0.463;0.642;0.461;0.536;0.641;0.620;0.700;0.793;0.149;0.265;0.520;7.44;6.60;9.14;140.73;224.09;431.43
"Maribondo (AL)";Municipality;270480;59.47;65.61;70.07;66.04;41.44;29.20;0.327;0.452;0.597;0.465;0.522;0.581;0.575;0.677;0.751;0.131;0.261;0.487;6.48;7.32;9.65;144.68;206.13;297.05
"Mar Vermelho (AL)";Municipality;270490;60.05;65.61;70.97;63.35;41.44;26.40;0.274;0.412;0.577;0.403;0.448;0.540;0.584;0.677;0.766;0.087;0.230;0.465;6.91;6.59;9.44;98.35;130.31;229.81
"Mata Grande (AL)";Municipality;270500;57.84;64.21;66.09;73.93;46.61;43.60;0.253;0.356;0.504;0.381;0.438;0.506;0.547;0.654;0.685;0.078;0.157;0.369;6.62;5.10;8.38;85.42;122.38;186.87
"Matriz de Camaragibe (AL)";Municipality;270510;59.04;63.06;71.62;68.05;51.11;24.50;0.332;0.394;0.584;0.410;0.450;0.541;0.567;0.634;0.777;0.157;0.215;0.473;6.72;5.45;9.53;102.61;131.88;231.82
"Messias (AL)";Municipality;270520;55.93;63.78;67.82;83.93;48.26;36.90;0.306;0.379;0.568;0.478;0.474;0.557;0.516;0.646;0.714;0.116;0.178;0.460;5.77;5.47;8.76;157.08;152.81;256.45
"Minador do Negrão (AL)";Municipality;270530;58.12;65.30;71.00;72.54;42.57;26.40;0.263;0.384;0.563;0.415;0.446;0.541;0.552;0.672;0.767;0.079;0.189;0.430;5.61;5.67;8.95;105.59;128.64;231.37
"Monteirópolis (AL)";Municipality;270540;54.25;62.07;67.57;93.38;55.20;37.80;0.251;0.380;0.539;0.368;0.516;0.497;0.488;0.618;0.710;0.088;0.172;0.443;6.52;5.17;9.46;79.12;197.95;176.62
"Murici (AL)";Municipality;270550;56.74;61.91;66.11;79.61;55.88;43.50;0.273;0.391;0.527;0.428;0.477;0.542;0.529;0.615;0.685;0.090;0.204;0.395;7.30;5.78;8.16;115.10;155.80;233.16
"Novo Lino (AL)";Municipality;270560;53.76;58.35;66.38;96.21;72.27;42.40;0.281;0.355;0.521;0.491;0.517;0.546;0.479;0.556;0.690;0.094;0.156;0.375;5.59;4.56;8.11;170.10;200.13;239.75
"Olho D'Água das Flores (AL)";Municipality;270570;55.52;62.98;70.13;86.21;51.44;29.00;0.322;0.405;0.565;0.470;0.511;0.568;0.509;0.633;0.752;0.140;0.206;0.422;5.90;5.91;8.66;149.47;192.01;274.46
"Olho D'Água do Casado (AL)";Municipality;270580;55.93;64.01;72.09;83.93;47.40;23.20;0.259;0.362;0.525;0.461;0.492;0.527;0.516;0.650;0.785;0.073;0.148;0.350;5.34;5.58;7.93;140.74;170.87;211.97
