Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
BA;2900207;Abaré;0.9;;0.6;;2.1;2.092;;3.057
BA;2900306;Acajutiba;0.8;;1.1;;2.1;2.129;;3.051
BA;2900355;Adustina;;;;;0.8;0.82;;1.717
BA;2900405;Água Fria;0.6;;0.8;;1.1;1.127;;2.069
BA;2900504;Érico Cardoso;0.6;;0.6;;1.6;1.33;;1.902
BA;2900603;Aiquara;0.7;;0.4;;1.6;1.677;;2.7
BA;2900702;Alagoinhas;1.8;;3;;4.7;4.665;;5.822
BA;2900801;Alcobaça;0.8;;1.6;;2.2;2.187;;3.241
BA;2900900;Almadina;0.6;;0.8;;1.5;1.523;;2.549
BA;2901007;Amargosa;1;;1.6;;2.5;2.534;;3.712
BA;2901106;Amélia Rodrigues;1.3;;1.9;;3.4;3.37;;4.678
BA;2901155;América Dourada;;;;;2.1;2.063;;2.84
BA;2901205;Anagé;0.1;;0.6;;1;1.016;;1.6
BA;2901304;Andaraí;0.6;;0.8;;1.6;1.533;;2.45
BA;2901353;Andorinha;;;;;1;1.011;;1.996
BA;2901403;Angical;0.4;;0.7;;1.6;1.588;;2.564
BA;2901502;Anguera;0.7;;0.8;;1.7;1.765;;3.107
BA;2901601;Antas;0.9;;0.9;;1.3;1.35;;3.075
BA;2901700;Antônio Cardoso;0.5;;1;;1.4;1.403;;2.35
BA;2901809;Antônio Gonçalves;0.9;;1;;1.8;1.791;;2.959
BA;2901908;Aporá;0.4;;0.4;;1.3;1.293;;2.182
BA;2901957;Apuarema;;;;;1.5;1.354;;2.172
BA;2902005;Aracatu;0.2;;0.5;;1.4;1.397;;1.677
BA;2902054;Araças;;;;;1.5;1.492;;2.282
BA;2902104;Araci;0.4;;0.5;;1.4;1.443;;2.099
BA;2902203;Aramari;0.8;;1.4;;2.5;2.498;;3.377
BA;2902252;Arataca;;;;;1.4;1.388;;2.039
BA;2902302;Aratuípe;0.7;;0.9;;1.8;1.797;;2.908
BA;2902401;Aurelino Leal;0.7;;1;;1.8;1.798;;2.177
BA;2902500;Baianópolis;0.4;;0.4;;1.4;1.375;;2.092
BA;2902609;Baixa Grande;0.4;;0.7;;1.3;1.338;;2.396
BA;2902658;Banzaê;;;;;1;1.062;;2.079
BA;2902708;Barra;0.7;;1.1;;2.2;2.195;;2.846
BA;2902807;Barra da Estiva;0.3;;0.8;;1.5;1.553;;2.255
BA;2902906;Barra do Choça;0.1;;0.4;;1.1;1.117;;1.746
BA;2903003;Barra do Mendes;0.8;;1.4;;2.4;2.401;;3.542
BA;2903102;Barra do Rocha;0.4;;0.8;;1.5;1.498;;2.669
BA;2903201;Barreiras;1.1;;2.5;;4.1;4.053;;5.375
BA;2903235;Barro Alto;;;;;1.9;1.959;;2.973
BA;2903276;Barrocas;;;;;;;;
BA;2903300;Governador Lomanto Júnior;0.2;;1.6;;1.6;1.616;;3.288
BA;2903409;Belmonte;1;;1.5;;2.1;2.125;;3.204
BA;2903508;Belo Campo;0.4;;0.7;;1.3;1.312;;2.22
BA;2903607;Biritinga;0.9;;1.1;;1.5;1.532;;2.482
BA;2903706;Boa Nova;0.3;;0.3;;0.8;0.805;;1.42
BA;2903805;Boa Vista do Tupim;0.3;;0.3;;1.2;1.188;;2.212
BA;2903904;Bom Jesus da Lapa;0.8;;1.2;;2.9;2.984;;4.063
BA;2903953;Bom Jesus da Serra;;;;;0.9;0.926;;1.674
BA;2904001;Boninal;0.4;;1;;1.3;1.336;;2.279
BA;2904050;Bonito;;;;;1.9;1.922;;2.269
BA;2904100;Boquira;0.4;;0.9;;1.8;1.81;;2.616
BA;2904209;Botuporã;0.2;;0.4;;1.1;1.092;;2.44
BA;2904308;Brejões;1.1;;1.3;;1.6;1.622;;2.688
BA;2904407;Brejolândia;0.5;;0.1;;1.5;1.51;;2.39
BA;2904506;Brotas de Macaúbas;0.9;;0.9;;2;1.982;;2.672
BA;2904605;Brumado;0.8;;1.8;;3;3.026;;4.023
BA;2904704;Buerarema;1;;1.5;;2.3;2.347;;3.026
BA;2904753;Buritirama;;;;;1.1;1.105;;2.193
BA;2904803;Caatiba;0.3;;0.6;;1.2;1.192;;2.241
BA;2904852;Cabaceiras do Paraguaçu;;;;;1.3;1.299;;2.197
BA;2904902;Cachoeira;1.5;;2.1;;3.5;3.52;;4.78
BA;2905008;Caculé;0.9;;1.5;;2.4;2.368;;3.368
BA;2905107;Caém;0.2;;1;;1.9;1.836;;3.001
BA;2905156;Caetanos;;;;;0.6;0.639;;1.42
BA;2905206;Caetité;0.9;;1.1;;2.3;2.322;;3.358
BA;2905305;Cafarnaum;0.6;;0.2;;2.1;1.858;;2.809
BA;2905404;Cairu;1.3;;1.1;;1.7;1.717;;3.41
BA;2905503;Caldeirão Grande;0.9;;0.8;;1.7;1.718;;2.477
BA;2905602;Camacan;0.7;;1.2;;2.2;2.187;;3.391
BA;2905701;Camaçari;1.6;;2.7;;4.4;4.379;;5.478
BA;2905800;Camamu;0.7;;1.4;;1.6;1.628;;2.57
BA;2905909;Campo Alegre de Lourdes;0.7;;1.2;;1.4;1.432;;2.145
BA;2906006;Campo Formoso;0.9;;1;;1.8;1.789;;2.814
BA;2906105;Canápolis;0.3;;0.9;;1.3;1.34;;2.383
BA;2906204;Canarana;0.8;;0.4;;1.8;1.975;;3.147
BA;2906303;Canavieiras;1.2;;1.6;;2.5;2.526;;3.558
BA;2906402;Candeal;1;;0.5;;1.9;1.895;;3.085
BA;2906501;Candeias;1.8;;2.4;;3.9;3.884;;5.207
BA;2906600;Candiba;0.6;;0.7;;1.8;1.806;;2.806
BA;2906709;Cândido Sales;0.5;;0.7;;1.5;1.483;;2.604
BA;2906808;Cansanção;0.1;;0.3;;1;0.971;;1.926
BA;2906824;Canudos;;;;;1.8;1.731;;2.832
BA;2906857;Capela do Alto Alegre;;;;;1;1.043;;2.308
BA;2906873;Capim Grosso;;;;;1.9;1.892;;3.068
BA;2906899;Caraíbas;;;;;0.7;0.687;;1.532
BA;2906907;Caravelas;1;;1.2;;1.6;1.552;;3.153
BA;2907004;Cardeal da Silva;0.8;;1.3;;2;1.846;;2.591
BA;2907103;Carinhanha;0.6;;0.8;;1.7;1.69;;2.383
BA;2907202;Casa Nova;0.6;;0.8;;1.7;1.747;;2.76
BA;2907301;Castro Alves;0.9;;1;;2.2;2.201;;3.308
BA;2907400;Catolândia;0.2;;1;;1.4;1.56;;2.654
BA;2907509;Catu;1.3;;2.3;;3.5;3.475;;4.877
BA;2907558;Caturama;;;;;1;0.993;;2.085
BA;2907608;Central;0.8;;1.5;;2.8;2.576;;3.846
BA;2907707;Chorrochó;0.8;;1.4;;2.2;2.131;;3.12
BA;2907806;Cícero Dantas;0.6;;0.8;;1.6;1.619;;2.636
BA;2907905;Cipó;0.8;;1.2;;2.6;2.554;;3.295
BA;2908002;Coaraci;1.1;;1.4;;2.5;2.532;;3.344
BA;2908101;Cocos;0.5;;0.6;;1.2;1.254;;2.515
BA;2908200;Conceição da Feira;1.2;;1.7;;2.5;2.506;;4.285
BA;2908309;Conceição do Almeida;0.9;;1.4;;2.3;2.317;;3.573
BA;2908408;Conceição do Coité;0.8;;1.1;;2.1;2.092;;3.062
BA;2908507;Conceição do Jacuípe;1.3;;2.1;;3.3;3.28;;4.61
BA;2908606;Conde;0.7;;1;;1.8;1.774;;3.15
BA;2908705;Condeúba;0.3;;0.5;;1.3;1.267;;2.208
BA;2908804;Contendas do Sincorá;0.8;;1.3;;2;1.754;;2.944
BA;2908903;Coração de Maria;0.7;;1;;2;1.981;;3.098
BA;2909000;Cordeiros;0.5;;0.6;;1;1.007;;1.972
BA;2909109;Coribe;0.3;;0.9;;1.6;1.614;;2.322
BA;2909208;Coronel João Sá;0.2;;0.2;;0.4;0.391;;1.583
BA;2909307;Correntina;0.5;;0.8;;1.7;1.714;;2.721
BA;2909406;Cotegipe;0.6;;0.8;;1.4;1.377;;2.088
BA;2909505;Cravolândia;0.3;;1;;1.3;1.334;;2.604
BA;2909604;Crisópolis;0.5;;0.4;;1.2;1.193;;1.723
BA;2909703;Cristópolis;0.3;;0.4;;1.4;1.385;;2.346
BA;2909802;Cruz das Almas;1.7;;2.6;;3.9;3.947;;5.429
BA;2909901;Curaçá;0.9;;0.8;;1.8;1.827;;2.897
BA;2910008;Dário Meira;0.4;;0.6;;1;1.011;;1.902
BA;2910057;Dias d'Ávila;;;;;4.6;4.612;;5.493
BA;2910107;Dom Basílio;0.3;;0.8;;1.7;1.668;;2.587
BA;2910206;Dom Macedo Costa;0.9;;0.7;;1.7;1.612;;2.782
BA;2910305;Elísio Medrado;0.6;;1;;1.8;1.76;;2.785
BA;2910404;Encruzilhada;0.2;;0.5;;1.2;1.233;;1.642
BA;2910503;Entre Rios;0.8;;1;;2.1;2.143;;3.559
BA;2910602;Esplanada;1;;1.3;;2.5;2.443;;3.377
BA;2910701;Euclides da Cunha;0.4;;0.8;;1.4;1.361;;2.468
BA;2910727;Eunápolis;;;;;3.3;3.307;;4.498
BA;2910750;Fátima;;;;;1;1.001;;1.865
BA;2910776;Feira da Mata;;;;;1.5;1.562;;2.642
BA;2910800;Feira de Santana;2.1;;3.3;;4.9;4.864;;5.975
BA;2910859;Filadélfia;;;;;1.2;1.267;;2.434
BA;2910909;Firmino Alves;1;;1.2;;1.8;1.876;;2.756
BA;2911006;Floresta Azul;0.6;;0.7;;2.1;2.133;;2.974
BA;2911105;Formosa do Rio Preto;0.7;;1.3;;2.4;2.352;;2.902
BA;2911204;Gandu;0.5;;1.2;;3;3.011;;3.462
BA;2911253;Gavião;;;;;1.7;1.56;;2.385
BA;2911303;Gentio do Ouro;0.2;;0.5;;1.2;1.231;;2.531
BA;2911402;Glória;0.2;;0.2;;1.5;1.515;;2.242
BA;2911501;Gongogi;0.7;;1.3;;1.9;1.845;;2.307
BA;2911600;Governador Mangabeira;0.7;;1.2;;2.3;2.341;;4.041
